Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2023-01-29 00:00:00",Conventional,1.061985819,118903.56,20652.13,69264.38,20.83,21055.11,,,,7911.12
Albany,Weekly,"2023-01-22 00:00:00",Conventional,1.087199748,145606.29,31914.51,85603.85,15.28,20087.96,,,,7984.69
Albany,Weekly,"2023-01-15 00:00:00",Conventional,1.064087046,124806.13,22887.57,71058.74,19.21,22717.32,,,,8123.29
Albany,Weekly,"2023-01-09 00:00:00",Conventional,1.096476607,123185.36,22058.54,76314.33,25.01,21389.38,,,,3398.10
Atlanta,Weekly,"2023-01-29 00:00:00",Conventional,0.913555039,870655.04,357694.86,23480.73,84.05,99006.04,,,,390389.35
Atlanta,Weekly,"2023-01-22 00:00:00",Conventional,0.945301602,825696.78,348170.41,27964.20,113.68,84212.84,,,,365235.64
Atlanta,Weekly,"2023-01-15 00:00:00",Conventional,0.924185306,807455.47,352523.78,27575.65,137.14,85555.04,,,,341663.87
Atlanta,Weekly,"2023-01-09 00:00:00",Conventional,0.933794312,769668.12,330488.26,44473.04,134.34,86145.08,,,,308427.40
Baltimore/Washington,Weekly,"2023-01-29 00:00:00",Conventional,1.143148178,1012144.44,175187.49,419073.10,1627.37,335717.59,,,,80538.88
Baltimore/Washington,Weekly,"2023-01-22 00:00:00",Conventional,1.118851251,1044292.36,166416.81,423320.82,1654.78,352846.62,,,,100053.33
Baltimore/Washington,Weekly,"2023-01-15 00:00:00",Conventional,1.261764668,978518.44,154698.02,380908.74,1814.07,364369.38,,,,76728.23
Baltimore/Washington,Weekly,"2023-01-09 00:00:00",Conventional,1.297977094,963706.23,141534.29,376635.87,2126.84,363497.42,,,,79911.81
Birmingham/Montgomery,Weekly,"2023-01-29 00:00:00",Conventional,0.852571407,391660.40,190344.03,5908.19,42.89,76059.06,,,,119306.23
Birmingham/Montgomery,Weekly,"2023-01-22 00:00:00",Conventional,0.853122302,388729.12,185913.87,5945.10,73.76,82432.99,,,,114363.41
Birmingham/Montgomery,Weekly,"2023-01-15 00:00:00",Conventional,0.852397157,378705.83,181118.04,5447.22,40.00,80208.99,,,,111891.57
Birmingham/Montgomery,Weekly,"2023-01-09 00:00:00",Conventional,0.860941807,377791.07,187197.78,7046.43,31.59,70424.69,,,,113090.57
Boise,Weekly,"2023-01-29 00:00:00",Conventional,1.032390259,120921.34,23912.09,9143.16,100.44,21732.55,,,,66033.10
Boise,Weekly,"2023-01-22 00:00:00",Conventional,1.089885629,108667.75,27199.70,5846.82,188.33,23786.66,,,,51646.24
Boise,Weekly,"2023-01-15 00:00:00",Conventional,1.058398586,107056.37,26573.59,5608.51,162.28,20914.04,,,,53797.94
Boise,Weekly,"2023-01-09 00:00:00",Conventional,0.995287321,110665.10,25877.97,8973.74,171.26,19963.14,,,,55678.99
Boston,Weekly,"2023-01-29 00:00:00",Conventional,1.261393593,618716.00,40902.86,310964.51,66.88,145816.57,,,,120965.18
Boston,Weekly,"2023-01-22 00:00:00",Conventional,1.394916942,605859.77,50645.52,321668.63,52.66,156073.02,,,,77419.93
Boston,Weekly,"2023-01-15 00:00:00",Conventional,1.413767351,585173.85,42374.44,307437.14,61.47,154953.66,,,,80347.14
Boston,Weekly,"2023-01-09 00:00:00",Conventional,1.316078913,614248.45,41337.59,324277.32,63.38,150386.36,,,,98183.80
Buffalo/Rochester,Weekly,"2023-01-29 00:00:00",Conventional,1.074311222,196990.75,37523.52,53193.32,1293.93,98616.84,,,,6363.14
Buffalo/Rochester,Weekly,"2023-01-22 00:00:00",Conventional,1.102920284,192527.15,24529.98,58177.07,1476.32,102209.47,,,,6134.30
Buffalo/Rochester,Weekly,"2023-01-15 00:00:00",Conventional,1.107762510,192762.90,29713.16,55065.90,1148.55,101016.12,,,,5819.16
Buffalo/Rochester,Weekly,"2023-01-09 00:00:00",Conventional,1.113446333,190755.76,25154.83,58163.45,1203.11,103401.64,,,,2832.74
Charlotte,Weekly,"2023-01-29 00:00:00",Conventional,1.185116871,363997.40,129296.23,56287.27,702.46,133293.32,,,,44418.12
Charlotte,Weekly,"2023-01-22 00:00:00",Conventional,1.191090235,371776.32,132144.41,56159.57,725.49,137479.42,,,,45267.42
Charlotte,Weekly,"2023-01-15 00:00:00",Conventional,1.080781035,388824.48,132018.95,78978.78,1088.83,130412.60,,,,46325.32
Charlotte,Weekly,"2023-01-09 00:00:00",Conventional,1.208541865,334107.94,118684.04,46610.65,630.98,127009.27,,,,41173.01
Chicago,Weekly,"2023-01-29 00:00:00",Conventional,1.038620452,952229.97,175184.95,109714.24,24339.03,212511.98,,,,430479.78
Chicago,Weekly,"2023-01-22 00:00:00",Conventional,1.125875191,831010.96,154262.50,88391.64,33817.06,220690.31,,,,333849.45
Chicago,Weekly,"2023-01-15 00:00:00",Conventional,1.028269789,994629.57,153205.60,122156.35,61291.68,219297.58,,,,438678.35
Chicago,Weekly,"2023-01-09 00:00:00",Conventional,1.142596406,831326.36,138846.26,89496.67,27155.45,208614.51,,,,367213.48
Cincinnati/Dayton,Weekly,"2023-01-29 00:00:00",Conventional,1.213369317,322108.32,49563.00,62720.68,3276.11,44893.10,,,,161655.42
Cincinnati/Dayton,Weekly,"2023-01-22 00:00:00",Conventional,1.025024089,313119.95,44639.51,59404.76,5237.99,45160.06,,,,158677.62
Cincinnati/Dayton,Weekly,"2023-01-15 00:00:00",Conventional,1.046877371,319738.39,44352.16,64320.90,11864.35,53596.98,,,,145603.99
Cincinnati/Dayton,Weekly,"2023-01-09 00:00:00",Conventional,1.014923271,312393.10,41500.16,61848.96,3139.57,66178.78,,,,139725.63
Columbus,Weekly,"2023-01-29 00:00:00",Conventional,1.006639627,264731.99,66405.82,19143.93,3193.20,46578.73,,,,129410.31
Columbus,Weekly,"2023-01-22 00:00:00",Conventional,0.963677771,267970.28,64475.79,20709.56,5042.54,44154.99,,,,133587.40
Columbus,Weekly,"2023-01-15 00:00:00",Conventional,0.988861828,272330.56,61537.10,20372.38,10354.70,42402.05,,,,137664.32
Columbus,Weekly,"2023-01-09 00:00:00",Conventional,0.989165601,252900.40,46622.98,29025.82,2496.51,50968.94,,,,123786.16
"Dallas/Ft. Worth",Weekly,"2023-01-29 00:00:00",Conventional,0.780560388,1503759.97,364538.33,93502.04,9208.39,500954.91,,,,535556.31
"Dallas/Ft. Worth",Weekly,"2023-01-22 00:00:00",Conventional,0.728017827,1554372.01,350984.54,146128.74,6414.62,527247.39,,,,523596.73
"Dallas/Ft. Worth",Weekly,"2023-01-15 00:00:00",Conventional,0.774581810,1559013.04,350104.42,140745.75,8478.11,600536.73,,,,459148.04
"Dallas/Ft. Worth",Weekly,"2023-01-09 00:00:00",Conventional,0.809745762,1407571.07,353325.22,113278.27,5421.93,472069.81,,,,463475.84
Denver,Weekly,"2023-01-29 00:00:00",Conventional,0.961455699,1043804.89,171300.58,131997.86,2413.31,298299.13,,,,439794.01
Denver,Weekly,"2023-01-22 00:00:00",Conventional,1.016971979,952279.76,167271.54,95378.61,2771.61,279383.67,,,,407474.34
Denver,Weekly,"2023-01-15 00:00:00",Conventional,1.017178937,835065.29,179858.88,66997.84,2976.87,268384.92,,,,316846.78
Denver,Weekly,"2023-01-09 00:00:00",Conventional,0.901652284,900792.74,171218.78,133716.73,2784.49,269069.05,,,,324003.68
Detroit,Weekly,"2023-01-29 00:00:00",Conventional,0.983392854,480906.53,124251.60,37132.87,18866.06,101871.61,,,,198784.40
Detroit,Weekly,"2023-01-22 00:00:00",Conventional,0.977396127,457640.41,95413.53,49031.17,32032.83,108571.28,,,,172591.59
Detroit,Weekly,"2023-01-15 00:00:00",Conventional,1.026764452,525630.63,94501.04,56676.19,59092.36,114475.02,,,,200886.01
Detroit,Weekly,"2023-01-09 00:00:00",Conventional,1.005040845,437235.09,68409.38,68582.20,20344.06,118902.10,,,,160997.36
"Grand Rapids",Weekly,"2023-01-29 00:00:00",Conventional,1.251913674,153578.99,40456.27,34967.86,21705.24,42181.80,,,,14267.83
"Grand Rapids",Weekly,"2023-01-22 00:00:00",Conventional,1.132732773,165999.28,19408.53,56786.00,40066.75,36842.89,,,,12895.12
"Grand Rapids",Weekly,"2023-01-15 00:00:00",Conventional,1.318455398,207925.43,19863.86,49229.42,65636.97,43403.34,,,,29791.84
"Grand Rapids",Weekly,"2023-01-09 00:00:00",Conventional,1.272462323,156059.36,22763.28,35798.83,22912.16,66102.13,,,,8482.95
Harrisburg/Scranton,Weekly,"2023-01-29 00:00:00",Conventional,1.019608708,421201.43,157743.50,104390.61,14990.56,130523.69,,,,13553.08
Harrisburg/Scranton,Weekly,"2023-01-22 00:00:00",Conventional,1.026145880,413068.72,153469.49,100276.72,15335.72,130985.23,,,,13001.55
